id,label
329437,"Jamison D. Collins"
1017568,"Zhiying Wang"
591585,"Y. Labiche"
1312480,"Manuel Palomar"
1148644,"Sriram K. Rajamani"
1607399,"Wolfgang Effelsberg"
722665,"Eddie Cheng"
1574635,"Yafeng Wang"
820973,"Shengyuan Xu"
1214191,"Rolf Ingold"
1148656,"Kaoru Sugita"
1148658,"Telikepalli Kavitha"
1443571,"Adrian Petcu"
329464,"Tim Finin"
689922,"Takeshi Ikenaga"
329476,"John Collins"
1312516,"Tanveer A Faruquie"
1541895,"A. Banerjee"
1279753,"Joshua M. Hailpern"
1181449,"Wolfgang Kunz"
689931,"Fumiko Harada"
395019,"H. C. So"
1476367,"Peter Boncz"
100112,"C. Marrocco"
329493,"Masaaki Harada"
1345302,"M. Cafaro"
132885,"George J. Febish"
1705752,"Rui Zhang"
788247,"Orazio Gambino"
231202,"Dirk Draheim"
1410852,"Antonio Skarmeta"
657194,"Karl Rohr"
329515,"A. Nürnberger"
1378092,"Sandip Kundu"
263982,"Koen V. Hindriks"
886577,"Kejie Lu"
1312565,"M. Ornaghi"
919349,"C. Muldoon"
591673,"Shinji Kusumoto"
1083193,"Frank Dürr"
296761,"Gong-Qing Wu"
1312574,"G. Petrone"
919358,"M. Banu"
329536,"Elena Mugellini"
591683,"E. E. Kerre"
558918,"Seyed Ghassem Miremadi"
165707,"Hua-Lin Tsai"
264023,"Ramesh C. Jain"
395096,"Philip J. Pratt"
329561,"Geoffrey H. Kuenning"
1083232,"Matthew B. Dwyer"
1607520,"Gregorio Robles"
264040,"S. Chen"
1410923,"Eduardo Dias"
1083249,"Christoph Dürr"
821106,"L. Dilillo"
395123,"Kenji Yoshihira"
1017715,"Ewan Tempero"
1017717,"Alberto Dennunzio"
657270,"Matthias Renz"
1083259,"Hans van Vliet"
427903,"Dominik Stoffel"
1705857,"Klaus R. Dittrich"
493441,"P. F. Patel-Schneider"
526211,"Manabu Okumura"
460684,"S. Storari"
231311,"James Chellis"
1574803,"Ryan Johnson"
526228,"Lawrence Hamilton Staib"
1942,"Yin Yang"
722839,"Seung-Joon Seok"
264089,"Qingzhong Liu"
460699,"Ichiro Ide"
526237,"Francesco Marcelloni"
722848,"Makoto Matsushita"
1476513,"Santiago Ontañón"
657313,"Catriel Beeri"
329634,"A Pettorossi"
427940,"Alexander Wong"
624556,"Esther Koller-Meier"
493484,"Eric Andres"
853938,"Arnau Oliver"
1443763,"Kazuteru Namba"
722868,"G. Miranda"
1410998,"Hae-Chang Rim"
1640375,"Tomoyuki Hiroyasu"
264121,"Qiong Liu"
1083325,"Karl Crailsheim"
722882,"Duncan S. Wong"
264130,"K. Mohanram"
1214405,"G. Staples"
1509319,"Giovanni De Micheli"
722896,"Hiroshi Mineno"
1673173,"Brian Henderson-Sellers"
1607641,"Thomas Canhao Xu"
296925,"Claudia Plant"
427999,"Paul Coulton"
1050592,"Zhengyu Yin"
1017826,"Silvana Roncagliolo"
67557,"Cláudio Sant'Anna"
788454,"Joseph A. Konstan"
428008,"Sathish S. Vadhiyar"
1705962,"C. Blundo"
526319,"Abraham Seidmann"
1705968,"John Arnold"
755698,"Noritaka Tsukamoto"
919543,"Alessandro Orso"
788472,"Krzysztof Krawiec"
722938,"Pedro Peris-Lopez"
428026,"Tao Xie"
1607685,"Ronald R. Yager"
1574918,"Balasubramaniam Ramesh"
1705992,"Jacob A. Abraham"
231433,"Yong-Hyuk Kim"
886801,"Naoki Wakamiya"
264210,"T Kanade"
34837,"Ada Gavrilovska"
821269,"Hafizur Rahaman"
722967,"J. Cong"
231461,"Tanja Lange"
1345577,"E. Caron"
362539,"Sangjin Lee"
67630,"Geyong Min"
886837,"Manuel Clergue"
428090,"Ralf Schenkel"
1017917,"Martin Gogolla"
362568,"Suk-Hwan Lee"
264268,"M. Michael"
133202,"Dewen Hu"
264274,"Harald Sack"
1312852,"Cristina Boeres"
526421,"J. Shi"
919638,"Marco Cadoli"
723030,"R Hähnle"
1706072,"Gerald Fritz"
1181785,"Anthony Steed"
100443,"Domenico Parisi"
1149021,"Mikel Larrañaga"
100445,"Mira Mezini"
1017949,"Da-Jinn Wang"
264289,"Fernando Díaz"
1050722,"Hsiao-Chun Wu"
1312867,"Doheon Lee"
1083494,"S. M. Reddy"
690280,"Domenico Ficara"
2155,"Wade Trappe"
67691,"Dugki Min"
919659,"C. Talcott"
1181805,"Ning Gu"
559218,"D. H. J. Epema"
329846,"Marco Saerens"
919673,"David A. Patterson"
329849,"M Napoli"
34940,"Xavier Masip-Bruin"
1640573,"Hirokazu Watabe"
1673342,"Anton Riabov"
788606,"M. J.T. Reinders"
559239,"Emmanuel Bertin"
297098,"Binyu Zang"
886925,"Feihui Li"
1214605,"Fabrizio Frati"
1181839,"Yunhong Gu"
1018001,"Zhiquan Wang"
755860,"Srinivasan Parthasarathy"
1181846,"M J E Sternberg"
1181847,"Yu Gu"
821399,"Feiyu Xu"
1607835,"Linh T.  X. Phan"
1575073,"Xiaoyan Zhu"
1083554,"Claudio Passerone"
592035,"Andrea De Lucia"
886948,"Pangfeng Liu"
1640613,"L Lavazza"
1083555,"A. Rajasekar"
1706152,"Vincenzo Matta"
34988,"Adam Dunkels"
1280175,"DongKyoo Shin"
723123,"Daniel D. Sleator"
1050805,"Ryen White"
231607,"Byung Ro Moon"
1640633,"Robert Dyer"
1673402,"M. Callieri"
1411259,"Martí Navarro"
1312954,"Nirmalie Wiratunga"
100541,"C. Li"
1149118,"A. Iglesias"
821439,"Ishfaq Ahmad"
690368,"Dhiraj K. Pradhan"
35008,"David Naccache"
821437,"C. M. Krishna"
821444,"Qiang Xu"
1116357,"Elias Dahlhaus"
1444039,"Frank Mueller"
854216,"Hyun Soo Kim"
755914,"Fabrizio Petrini"
231631,"Hau-San Wong"
919760,"Jim D. Garside"
1312980,"Erik D. Demaine"
657620,"A. Herkersdorf"
1509594,"Ulrich Endriss"
35039,"F. Romani"
1214689,"Amy L. Murphy"
166114,"Bertil Schmidt"
1149158,"Dirk Stroobandt"
1083625,"Luiza de Macedo Mourelle"
1640681,"X Zhao"
100587,"Pierre Leone"
1116399,"Yuichi Goto"
67828,"Jeongho Shin"
1444084,"Taketoshi Mori"
1083641,"Masao Nagasaki"
166138,"Domenico Lembo"
1542395,"Wolfgang H. Gerstacker"
1673470,"Li-Yeh Chuang"
657665,"Gi-Joon Nam"
1673474,"David Garlan"
1181957,"Kensaku Mori"
395528,"Pasquale Savino"
395529,"John F. Karpovich"
690441,"Michael D. Dahlin"
788747,"K. Tsagkaris"
362770,"Ran Zheng"
1181972,"Kinji Mori"
1378584,"Ritu Agarwal"
919835,"Gerti Kappel"
1509664,"Tiziana Catarci"
1116448,"Bostjan Likar"
756004,"Kazukuni Kobara"
657701,"T. V. Lakshman"
1378598,"R P Agarwal"
2344,"Narciso Martí-Oliet"
1673512,"Yingying Chen"
1247532,"Samuel P. Midkiff"
1345844,"Myoung Ho Kim"
2356,"Ravi Ponnusamy"
690490,"E. Bampis"
